Walor,Kurs,Zmiana,Zmiana procentowa,Liczba transakcji,Obrót,Otwarcie,Max,Min,Czas
ALIOR,452500,-1700.0,"-0,37%",3 219,20 675 390,451300,463000,446600,18.04 17:01
ALLEGRO,319300,1000.0,"0,31%",7 097,66 235 764,317800,325700,317000,18.04 17:02
ASSECOPOL,834500,15000.0,"1,83%",1 653,13 492 549,820000,840000,809000,18.04 17:00
CDPROJEKT,1097000,-12400.0,"-1,12%",6 287,38 178 676,1117600,1119400,1095200,18.04 17:04
CYFRPLSAT,168400,-1600.0,"-0,94%",2 498,8 119 619,170100,171100,168000,18.04 17:00
DINOPL,3950000,15000.0,"0,38%",5 929,73 681 824,3940000,3990000,3899000,18.04 17:03
JSW,470100,5800.0,"1,25%",5 112,29 717 636,466000,483000,464000,18.04 17:01
KETY,5750000,230000.0,"4,17%",2 488,20 668 534,5590000,5860000,5590000,18.04 17:03
KGHM,1288500,67000.0,"5,49%",11 382,139 912 704,1231000,1288500,1223500,18.04 17:02
,,,,,,,,,
KRUK,3732000,74000.0,"2,02%",1 589,9 334 602,3658000,3804000,3634000,18.04 17:00
LPP,"9 835,0000",2550000.0,"2,66%",1 901,37 908 248,"9 585,0000","9 875,0000","9 550,0000",18.04 17:00
MBANK,3600000,40000.0,"1,12%",1 883,12 628 894,3548000,3656000,3548000,18.04 17:04
ORANGEPL,72880,580.0,"0,80%",2 517,8 564 480,72380,73380,71800,18.04 17:00
PEKAO,961000,21400.0,"2,28%",7 393,70 671 296,941400,970000,936000,18.04 17:00
PEPCO,401600,5200.0,"1,31%",2 216,17 000 630,398000,406400,394400,18.04 17:04
PGE,67520,920.0,"1,38%",2 991,11 975 651,66620,67980,65520,18.04 17:00
PKNORLEN,623600,6600.0,"1,07%",11 081,105 476 400,617000,628000,613400,18.04 17:04
PKOBP,323500,9500.0,"3,03%",7 858,83 211 360,314000,327400,312000,18.04 17:04
PZU,383200,11500.0,"3,09%",7 632,93 043 312,371700,384000,369200,18.04 17:00
SANPL,3298000,40000.0,"1,23%",1 885,15 458 210,3276000,3382000,3270000,18.04 17:00
